id,title,museum,era,material,size,geo
商甲骨刻辞,njmuseum,,龟壳,纵2.3，横1.5 厘米
商甲骨刻辞,njmuseum,,,纵1.6，横2.2 厘米
商甲骨刻辞,njmuseum,,,纵1.5，横2.3 厘米
商甲骨刻辞,njmuseum,,,纵1.7，横2 厘米
商甲骨刻辞,njmuseum,,,纵2.5，横1.8 厘米
商甲骨刻辞,njmuseum,,,纵2.3，横2.3 厘米
商甲骨刻辞,njmuseum,,,纵1.7，横2.6 厘米
商甲骨刻辞,njmuseum,,,纵1.4，横2.5 厘米
商甲骨刻辞,njmuseum,,,纵2.4，横2.2 厘米
商甲骨刻辞,njmuseum,,,纵1.5，横2.4 厘米
商甲骨刻辞,njmuseum,,,纵2.6，横2.1 厘米
商甲骨刻辞,njmuseum,,,纵2，横1.8 厘米
商甲骨刻辞,njmuseum,,,纵1.9，横2.1 厘米
商甲骨刻辞,njmuseum,,,纵1.9，横2.2 厘米
商甲骨刻辞,njmuseum,,,纵2.2，横1.2 厘米
商甲骨刻辞,njmuseum,,,纵2.2，横1.5 厘米
商甲骨刻辞,njmuseum,,,纵2.1，横1.9 厘米
商甲骨刻辞,njmuseum,,,纵2.1，横1.6 厘米
商甲骨刻辞,njmuseum,,,纵2.3，横1.7 厘米
商甲骨刻辞,njmuseum,,,纵3.6，横2.6 厘米
商甲骨刻辞,njmuseum,,,纵3.2，横2.7 厘米
商甲骨刻辞,njmuseum,,,纵1.6，横1.6 厘米
商甲骨刻辞,njmuseum,,,纵2.2，横1.8 厘米
商甲骨刻辞,njmuseum,,,纵2.3，横1.8 厘米
商甲骨刻辞,njmuseum,,,纵2.3，横2.1 厘米
商甲骨刻辞,njmuseum,,,纵1.8，横1.8 厘米
商甲骨刻辞,njmuseum,,,纵2.7，横1.5 厘米
商甲骨刻辞,njmuseum,,,纵2.8，横1.5 厘米
商甲骨刻辞,njmuseum,,,纵2.2，横1.1 厘米
商甲骨刻辞,njmuseum,,,纵1.1，横1.3 厘米
商甲骨刻辞,njmuseum,,,纵1.8，横2.1 厘米
